,id,date_of_receipt,receipt_number,remarks,units,brand,category,brand_model,status,img,file_exists,file_name,file_size_MB,processed_data,m_receipt_date,m_receipt_number,m_brand_model,m_brand,receipt_type
170,651561,6/25/24,ornvo24101721,Approved,1,Ray-Ban,Optical,6518,1,Receipt/2024/widtosrpp6.jpg,Yes,widtosrpp6.jpg,4.705966,"{'m_receipt_date': ['Jun 25, 2024'], 'm_receipt_number': ['OR-NVO24101721', 'OR-NVO24101721'], 'm_brand_model': ['rayban 6518 2890 sz57 HEIGHT 29', '6518'], 'm_brand': ['F02977 RAYBAN RX FRAME', 'rayban 6518 2890 sz57 HEIGHT 29', 'RAYBAN', 'rayban'], 'id': 651561, 'receipt_type': 'Printed'}","['Jun 25, 2024']","['OR-NVO24101721', 'OR-NVO24101721']","['rayban 6518 2890 sz57 HEIGHT 29', '6518']","['F02977 RAYBAN RX FRAME', 'rayban 6518 2890 sz57 HEIGHT 29', 'RAYBAN', 'rayban']",Printed
171,651560,6/23/24,ornvo24101691,Approved,1,Prada,Optical,A14,1,Receipt/2024/ppbvlc1w1i.jpg,Yes,ppbvlc1w1i.jpg,4.732612,"{'m_receipt_date': ['Jun 23, 2024'], 'm_receipt_number': ['OR-NVO24101691', 'OR-NVO24101691'], 'm_brand_model': ['PRADA VPR A14-F 16K-101', 'A14-F'], 'm_brand': ['F02974, PRADA SUNGLASSES', 'PRADA VPR A14-F 16K-101', 'PRADA', 'PRADA'], 'id': 651560, 'receipt_type': 'Printed'}","['Jun 23, 2024']","['OR-NVO24101691', 'OR-NVO24101691']","['PRADA VPR A14-F 16K-101', 'A14-F']","['F02974, PRADA SUNGLASSES', 'PRADA VPR A14-F 16K-101', 'PRADA', 'PRADA']",Printed
172,651558,6/19/24,ornvo24101655,Approved,1,Ray-Ban,Optical,3681,1,Receipt/2024/tcotturzs0.jpg,Yes,tcotturzs0.jpg,4.603048,"{'m_receipt_date': ['Jun 19, 2024'], 'm_receipt_number': ['OR-NVO24101655', 'OR-NVO24101655'], 'm_brand_model': ['RAYBAN 3681V 2509', '3681V'], 'm_brand': ['F02977, RAYBAN RX FRAME', 'RAYBAN 3681V 2509', 'RAYBAN', 'RAYBAN'], 'id': 651558, 'receipt_type': 'Printed'}","['Jun 19, 2024']","['OR-NVO24101655', 'OR-NVO24101655']","['RAYBAN 3681V 2509', '3681V']","['F02977, RAYBAN RX FRAME', 'RAYBAN 3681V 2509', 'RAYBAN', 'RAYBAN']",Printed
173,651557,6/18/24,ornvo24101648,Approved,1,Ray-Ban,Sunglasses,4365,1,Receipt/2024/wuo8ujbgl0.jpg,Yes,wuo8ujbgl0.jpg,4.443975,"{'m_receipt_date': ['Jun 18,2024'], 'm_receipt_number': ['Branch : Form OR-NVO24101648', 'OR-NVO24101648'], 'm_brand_model': ['RAYBAN 4365-M F657/2Y', '4365-M'], 'm_brand': ['F02976 RAYBAN SUNGLASSES', 'RAYBAN 4365-M F657/2Y', 'RAYBAN', 'RAYBAN'], 'id': 651557, 'receipt_type': 'Printed'}","['Jun 18,2024']","['Branch : Form OR-NVO24101648', 'OR-NVO24101648']","['RAYBAN 4365-M F657/2Y', '4365-M']","['F02976 RAYBAN SUNGLASSES', 'RAYBAN 4365-M F657/2Y', 'RAYBAN', 'RAYBAN']",Printed
174,651556,6/16/24,ornvo24101626,Approved,1,Ray-Ban,Optical,7059,1,Receipt/2024/lw9ab4rg87.jpg,Yes,lw9ab4rg87.jpg,4.496214,"{'m_receipt_date': ['Jun 16, 2024'], 'm_receipt_number': [], 'm_brand_model': ['RAYBAN 7059D 2001', '7059D 2001'], 'm_brand': ['Frame 1-02977 RAYBAN RX FRAME', 'RAYBAN 7059D 2001', 'RAYBAN', 'RAYBAN'], 'id': 651556, 'receipt_type': 'Printed'}","['Jun 16, 2024']",[],"['RAYBAN 7059D 2001', '7059D 2001']","['Frame 1-02977 RAYBAN RX FRAME', 'RAYBAN 7059D 2001', 'RAYBAN', 'RAYBAN']",Printed
175,651550,6/15/24,ornvo24101622,Approved,1,Ray-Ban,Optical,7059,1,Receipt/2024/nqzl1sfvp5.jpg,Yes,nqzl1sfvp5.jpg,5.139165,"{'m_receipt_date': ['Jun 15,2024'], 'm_receipt_number': ['OR-NVO24101622', 'OR-NVO24101622'], 'm_brand_model': ['RAYBAN 7059D 5555', '7059D'], 'm_brand': ['F02977 RAYBAN RX FRAME', 'RAYBAN 7059D 5555', 'RAYBAN', 'RAYBAN'], 'id': 651550, 'receipt_type': 'Printed'}","['Jun 15,2024']","['OR-NVO24101622', 'OR-NVO24101622']","['RAYBAN 7059D 5555', '7059D']","['F02977 RAYBAN RX FRAME', 'RAYBAN 7059D 5555', 'RAYBAN', 'RAYBAN']",Printed
176,651548,6/15/24,ornvo24101621,Approved,1,Ray-Ban,Optical,7059d,1,Receipt/2024/tehkyyncjs.jpg,Yes,tehkyyncjs.jpg,5.257437,"{'m_receipt_date': ['Jun 15, 2024'], 'm_receipt_number': ['OR-NVO24101621', 'OR-NVO24101621'], 'm_brand_model': [], 'm_brand': ['F02977 RAYBAN RX FRAME', 'RAYBAN 70591 5196', 'RAYBAN', 'RAYBAN'], 'id': 651548, 'receipt_type': 'Printed'}","['Jun 15, 2024']","['OR-NVO24101621', 'OR-NVO24101621']",[],"['F02977 RAYBAN RX FRAME', 'RAYBAN 70591 5196', 'RAYBAN', 'RAYBAN']",Printed
177,651547,6/15/24,ornvo24101620,Approved,1,Swarovski,Optical,1012,1,Receipt/2024/l9yn7cgodu.jpg,Yes,l9yn7cgodu.jpg,5.154894,"{'m_receipt_date': ['Jun 15, 2024'], 'm_receipt_number': ['OR-NVO24101620', 'OR-NVO24101620'], 'm_brand_model': ['SWAROVSKI 1012 4014', '1012 4014'], 'm_brand': ['F07998 SWAROVSKI RX FRAME', 'SWAROVSKI 1012 4014', 'SWAROVSKI', 'SWAROVSKI'], 'id': 651547, 'receipt_type': 'Printed'}","['Jun 15, 2024']","['OR-NVO24101620', 'OR-NVO24101620']","['SWAROVSKI 1012 4014', '1012 4014']","['F07998 SWAROVSKI RX FRAME', 'SWAROVSKI 1012 4014', 'SWAROVSKI', 'SWAROVSKI']",Printed
178,651546,6/15/24,ornvo24101619,Approved,1,Ray-Ban,Sunglasses,2140,1,Receipt/2024/m9b5kljd7j.jpg,Yes,m9b5kljd7j.jpg,5.998533,"{'m_receipt_date': ['Jun 15,2024'], 'm_receipt_number': ['OR-NVO24101619', 'OR-NVO24101619'], 'm_brand_model': ['RAYBAN 2140-F 901 SZ54', '2140-F'], 'm_brand': ['F02976. RAYBAN SUNGLASSES', 'RAYBAN 2140-F 901 SZ54', 'RAYBAN', 'RAYBAN'], 'id': 651546, 'receipt_type': 'Printed'}","['Jun 15,2024']","['OR-NVO24101619', 'OR-NVO24101619']","['RAYBAN 2140-F 901 SZ54', '2140-F']","['F02976. RAYBAN SUNGLASSES', 'RAYBAN 2140-F 901 SZ54', 'RAYBAN', 'RAYBAN']",Printed
179,651545,6/15/24,ornvo24101616,Approved,1,Ray-Ban,Sunglasses,3016,1,Receipt/2024/mbbhsxelim_GZLLMD5.jpg,Yes,mbbhsxelim_GZLLMD5.jpg,5.147836,"{'m_receipt_date': ['Jun 15,2024'], 'm_receipt_number': ['OR-NVO24101616', 'OR-NVO24101616'], 'm_brand_model': ['RAYBAN 3016F 990/58', '3016F'], 'm_brand': ['F02976. RAYBAN SUNGLASSES.', 'RAYBAN RAYBAN SUNGLASSES X 1', 'RAYBAN 3016F 990/58', 'RAYBAN 2132F 901/58 SZ58', 'RAYBAN', 'RAYBAN', 'RAYBAN', 'RAYBAN', 'RAYBAN'], 'id': 651545, 'receipt_type': 'Printed'}","['Jun 15,2024']","['OR-NVO24101616', 'OR-NVO24101616']","['RAYBAN 3016F 990/58', '3016F']","['F02976. RAYBAN SUNGLASSES.', 'RAYBAN RAYBAN SUNGLASSES X 1', 'RAYBAN 3016F 990/58', 'RAYBAN 2132F 901/58 SZ58', 'RAYBAN', 'RAYBAN', 'RAYBAN', 'RAYBAN', 'RAYBAN']",Printed
